user_story,final_label
"As a DAMS manager, I want to know when the event occurred.",Functional
"""As a user, I want to know the status of a file I uploaded, so that I can check if the file is uploaded correctly.  """,Reliability
"""As a developer, I want to have a single application that runs on all the major platforms, so that I can easily deploy the application. """,Portability
"""As a developer, I want to be able to deploy the application on a new server, so that I can start using the new server. """,Portability
"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.",Portability
"As a patron, I want to select/deselect reports/datasets to be emailed, possibly many at one time, when new versions are available.",Functional
"""As an archivist, I want to have a fast search.   """,Performance
"As an NSF person interested in attending user interviews, I want to know when they are scheduled and the type of user that will be interviewed.",Usability
"""As a user, I want to view a list of all the datasets that I have access to. """,Usability
"As a Solid user, I'd like to get a notification when any of my contacts have a Pod, so I can quickly get rid of the empty desert feeling when I get started",Usability
"As a researcher, I want to have the ability to search for images of cells using standard meta data.",Functional
As a Solid user I want to know the algorithm generating suggestions for me so that I know how I am being influenced and by which criteria,Usability
"""As a user, I want to be able to re-run a previous experiment.  """,Reliability
"As a Research Centre Director, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.",Functional
"""As a developer, I want to use the API to get a list of all the files in a given directory.  """,Performance
"As an asset manager, I want to be assured that the assets can be taken out of the repository, and that the assets taken out are the same as those that are put in.",Reliability
"As a Researcher, I want an app that generates an OpenRefine reconciliation API endpoint from a Tabular Data Package, so that I can use it to clean messy data.",Functional
"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.",Security
"""As a researcher, I want to search for and retrieve information about data packages. """,Functional
"""As a researcher, I want to have a tool that allows me to create a report of a dataset based on a specific query. """,Functional
"""As a user, I want to have the ability to search for specific types of data. """,Functional
"""As a user, I want to have a fast and efficient search of files, so that I can get the file I am looking for quickly. """,Performance
"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future.",Functional
"""As a Developer , I want to be able to create a dataset instance with a specific type of instance. """,Functional
"""As a developer, I want to be able to use Neurohub with other brain-related tools and platforms, so that I can use Neurohub in the context of other tools. """,Compatibility
"""As an archivist, I want to access the EAD files of other institutions, so that I can share and discover knowledge. """,Portability
"As a moderator, I want to estimate a story we estimated earlier in the session again, so that we can give a new estimate if we feel different about the story after estimating other related stories.",Functional
"""As a user, I want to have the system to be fast and responsive.  """,Performance
"""As a user, I want to be able to delete a dataset.  """,Maintainability
"""As a DAMS manager, I want to know whether the file is a FABS or an object. """,Security
"""As a user, I want to be able to perform a search on a dataset, so that I can get the dataset I want quickly.  """,Performance
"As a library staff member, I want to preserve the scholarship of the law school by using sustainable links that will not succumb to link rot, so that I can create a permanent digital archive for the scholarship of my institution.",Reliability
"""As a user, I want to have a way to filter by date.  """,Usability
"As a user, I want to draw tables using HTML tags as part of the content of a log book page.",Functional
"""As a user, I want to have a video that was uploaded to the repository to be downloaded as quickly as possible.  """,Performance
"As a mobile phone user, I would like to overlay points of personal interest on a map.",Functional
"As a user, I want to disable explore for a dataset that was configured for explore initially.",Functional
"As a User, I want to be able to set my own username, So that my data is more easily discoverable.",Usability
"As an archivist, I want to add restriction end date information to files, so that I can share files when they become open.",Security
"""As a repository manager, I want to indicate if a component is publicly accessible, so that I can provide access to my component. """,Security
"As an OlderPerson, I want to receive suggestions about local sport Classes.",Functional
"""As a researcher, I want to view a visual representation of the data.  """,Functional
"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.",Functional
"""As a developer, I want to have a good documentation of the API, so that I can easily use it.  """,Maintainability
"As a researcher, I want to have services to support the long term curation of data, so that I can be sure that data will not get 'lost' with the passage of time.",Reliability
"""As a user, I want to have a fast way to download large datasets.  """,Performance
"""As a developer, I want to know the estimated size of a dataset.  """,Performance
"""As an app developer, I want to know about any user roles that are required to use my app.  """,Security
"""As a developer, I want to have the dataset to be loaded quickly.  """,Performance
"""As a developer, I want to update my code to the latest version of the codebase.  """,Maintainability
"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.",Functional
"As a CSM, I want to have my name listed in the registry without becoming a member of the site, so that employers or others can verify my certification.",Functional
"As a researcher, I want to ask a question about a specific file, so that I can find out more information.",Functional
"As a repository manager, I want to link, when appropriate, a component to another component or to a file.",Usability
"As an agency user, I want to be confident that the data coming from SAM is complete.",Reliability
"""As a user, I want to search for a specific dataset, so that I can access it. """,Functional
"""As a developer, I want to use the FABS API in my code.  """,Portability
"""As a user, I want to be able to download a zip of all my photos.  """,Portability
"As a DAMS manager, I want to know when application of a library policy to an object or object component is scheduled to expire.",Security
"As a staff member, I want to denote an application with a Final Action status. So that I can finish it.",Functional
"""As an OlderPerson, I want to know if my ALFRED device is still secure.  """,Security
"As a JuniorResearcher, I want to have the ability to harvest knowledge from within the group, so that I can learn from more experienced researchers.",Usability
"As a researcher, I want to attach currently non-attached files to a log book page.",Functional
"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.",Maintainability
"""As a developer, I want to be able to use the API with my preferred programming language, so that I can use the data in my project.  """,Compatibility
"""As a user, I want to be able to recover a deleted file, so that I can continue to use the file.  """,Reliability
"""As a user, I want to search for files by name.  """,Functional
"As a dataset developer, I want to assign explicit versions to the code of a dataset type.",Functional
"""As an app developer, I want to know the dependencies of a dataset, so that I can ensure that it works.  """,Compatibility
"""As a user, I want to search for a dataset by its name.  """,Functional
"""As a user, I want to be able to search for a specific file by name.  """,Performance
"""As a user, I want to know if an object is a copy of another object.  """,Security
"""As a developer, I want to be able to update my code to the latest version.  """,Maintainability
"""As a user, I want to be able to search for files based on the permissions. """,Security
"As a repoadmin, I want to update the repository index without disrupting access to the public interface.",Maintainability
"""As a user, I want to download a large file, so that I can get the file quickly.  """,Performance
"As a authenticateduser, I want to identify myself as and pay for a $350 company sponsorship, so that I can easily become a sponsor at this level without having to interface with badcamp personnel to get a sponsorship.",Usability
"""As a researcher, I want to know when a file was created, so that I can assess its age.  """,Security
"""As a developer, I want to be able to deploy my application to multiple environments, so that I can deploy it to multiple environments. """,Portability
"""As a developer, I want to be able to deploy the app on a new server, so that I can use the app on a new server. """,Portability
